id,suburb,area,station_count,station_count_by_area,station_count_by_area_plus_1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.385,MARIONVALE,0.002119172,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.371,GLENORCHY,0.017833447,2,112.1488166,113.1488166
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.372,SAILORS HILL,0.000176252,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.373,MONT ALBERT,0.000174728,13,74401.18358,74402.18358
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.374,CLIFTON HILL,0.000171188,15,87622.99854,87623.99854
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.386,COLBROOK,0.00191366,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.412,THE PATCH,0.00037806,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2390,BAMAWM,0.010173481,4,393.1791045,394.1791045
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.375,RIPPLESIDE,5.02E-05,3,59754.64196,59755.64196
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.376,NOBLE PARK NORTH,0.000374392,15,40064.97285,40065.97285
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.540,CHEWTON BUSHLANDS,0.000149637,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.377,GEELONG,0.000340769,123,360948.4446,360949.4446
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.378,CAULFIELD SOUTH,0.000335152,15,44755.81748,44756.81748
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.379,RICHMOND,0.000455352,158,346984.1206,346985.1206
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.380,TORWOOD,0.000707832,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.381,MORDIALLOC,0.000452512,21,46407.59988,46408.59988
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.413,GLADSTONE PARK,0.00037665,5,13274.93781,13275.93781
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.382,PANTON HILL,0.002152048,3,1394.02079,1395.02079
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.387,KILLARA,0.000166843,1,5993.653293,5994.653293
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.388,NOTTING HILL,0.000162895,22,135056.6514,135057.6514
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.383,CORAL BANK,0.002124532,1,470.6919414,471.6919414
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.384,BARNADOWN,0.001121883,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.541,CAULFIELD,0.00015051,7,46508.67079,46509.67079
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.542,EUMEMMERRING,0.000110274,3,27204.96293,27205.96293
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.390,CHILTERN,0.020107564,15,745.9879107,746.9879107
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.391,GOLDEN GULLY,0.000320986,3,9346.188934,9347.188934
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.392,WARRAGUL WEST,0.00041889,1,2387.260587,2388.260587
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.394,PARADISE BEACH,0.000336465,1,2972.076981,2973.076981
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.395,BLACK ROCK,0.000330579,26,78649.94683,78650.94683
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.396,NORTH GEELONG,0.000510429,43,84242.84503,84243.84503
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.414,MAIDSTONE,0.000322976,22,68116.61752,68117.61752
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.415,BREAKWATER,0.000323163,12,37132.97992,37133.97992
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.456,WEERING,0.007959093,1,125.6424605,126.6424605
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.397,FAIRHAVEN,0.000529353,3,5667.297917,5668.297917
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.402,GERMANTOWN,0.002964105,2,674.739948,675.739948
